Nome;Indirizzo;Città;Nazione;Prezzo;Fascia Di Prezzo;Tipo di Cucina;Longitude;Latitude;PrenotazioneOnline;Delivery;WebsiteUrl;Award;Servizi
Odette;National Gallery, #01-04, 1 St. Andrew's Road (entrance via Supreme Court wing's foyer), 178957, Singapore;Singapore;;$$$$;100;French Contemporary;103.8516;1.2896459;SI;NO;http://www.odetterestaurant.com;3 Stars;Air conditioning,Car park,Interesting wine list,Restaurant offering vegetarian menus,Wheelchair access
Les Amis;Shaw Centre, #01-16, 1 Scotts Road, 228208, Singapore;Singapore;;$$$$;100;French;103.83204;1.30626;SI;NO;https://www.lesamis.com.sg/;3 Stars;Air conditioning,Car park,Interesting wine list,Restaurant offering vegetarian menus,Valet parking,Wheelchair access
Hiša Franko;Staro selo 1, Kobarid, 5222, Slovenia;Kobarid; Slovenia;€€€€;100;Creative, Regional Cuisine;13.5382362;46.2472961;SI;SI;https://www.hisafranko.com/;3 Stars;Air conditioning,Car park,Interesting wine list,Wheelchair access
Frantzén;Klara Norra Kyrkogata 26, Stockholm, 111 22, Sweden;Stockholm; Sweden;€€€€;100;Modern Cuisine;18.0597575;59.3341673;NO;SI;https://www.restaurantfrantzen.com/;3 Stars;Air conditioning,Counter dining,Interesting wine list
noma;Refshalevej 96, Copenhagen, 1432 K, Denmark;Copenhagen; Denmark;€€€€;100;Creative;12.6106175;55.6833118;NO;SI;https://noma.dk;3 Stars;Garden or park,Great view,Wheelchair access
Jordnær;Gentoftegade 29, Gentofte, 2800, Denmark;Gentofte; Denmark;€€€€;100;Creative;12.5412347;55.7481416;SI;SI;https://www.restaurantjordnaer.dk/;3 Stars;Car park,Interesting wine list
Geranium;Per Henrik Lings Allé, Parken National Stadium, Copenhagen, 2100 Ø, Denmark;Copenhagen; Denmark;€€€€;100;Creative, Contemporary;12.5725289;55.7040847;NO;SI;https://www.geranium.dk/;3 Stars;Air conditioning,Car park,Great view,Interesting wine list,Restaurant offering vegetarian menus,Wheelchair access
RE-NAA;Nordbøgata 8, Stavanger, 4006, Norway;Stavanger; Norway;€€€€;100;Creative, Seafood;5.7308447;58.9739705;SI;NO;https://www.restaurantrenaa.no/;3 Stars;Air conditioning,Interesting wine list,Wheelchair access
Maaemo;Dronning Eufemias gate 23, Oslo, 0194, Norway;Oslo; Norway;€€€€;100;Modern Cuisine, Creative;10.7586363;59.9075293;NO;NO;https://www.maaemo.no;3 Stars;Air conditioning
Taian;1-21-2 Shimanochi, Chuo-ku, Osaka, 542-0082, Japan;Osaka; Japan;¥¥¥;70;Japanese;135.507205;34.673353;NO;NO;;3 Stars;Air conditioning,Counter dining
Hyotei;35 Nanzenji Kusagawacho, Sakyo-ku, Kyoto, 606-8437, Japan;Kyoto; Japan;¥¥¥¥;100;Japanese;135.786742;35.011355;NO;NO;;3 Stars;Air conditioning,Car park,Shoes must be removed
HAJIME;1-9-11 Edobori, Nishi-ku, Osaka, 550-0002, Japan;Osaka; Japan;¥¥¥¥;100;Innovative;135.496084;34.688612;NO;NO;https://www.hajime-artistes.com/;3 Stars;Air conditioning,Restaurant offering vegetarian menus,Wheelchair access
Kikunoi Honten;459 Shimokawaracho, Higashiyama-ku, Kyoto, 605-0825, Japan;Kyoto; Japan;¥¥¥¥;100;Japanese;135.782079;35.001535;NO;NO;https://kikunoi.jp/;3 Stars;Air conditioning,Car park,Shoes must be removed
Isshisoden Nakamura;136 Matsushitacho, Nakagyo-ku, Kyoto, 604-8093, Japan;Kyoto; Japan;¥¥¥¥;100;Japanese;135.765083;35.010397;SI;SI;http://www.kyoryori-nakamura.com/;3 Stars;Air conditioning,Shoes must be removed
Mizai;613 Maruyamacho, Higashiyama-ku, Kyoto, 605-0071, Japan;Kyoto; Japan;¥¥¥¥;100;Japanese;135.782364;35.002993;SI;SI;https://mizai.jp/;3 Stars;Air conditioning,Cash only,Counter dining,Notable sake list
Gion Sasaki;566-27 Komatsucho, Higashiyama-ku, Kyoto, 605-0811, Japan;Kyoto; Japan;¥¥¥¥;100;Japanese;135.775049;34.998881;SI;NO;https://gionsasaki.com/;3 Stars;Air conditioning,Counter dining,Shoes must be removed
Kashiwaya Osaka Senriyama;2-5-18 Senriyamanishi, Suita, Osaka, 565-0851, Japan;Osaka; Japan;¥¥¥;70;Japanese;135.501289;34.770287;SI;SI;https://jp-kashiwaya.com/;3 Stars;Air conditioning,Interesting wine list,Notable sake list,Shoes must be removed
ES:SENZ;Mietenkamer Straße 65, Grassau, 83224, Germany;Grassau; Germany;€€€€;100;Creative, Modern Cuisine;12.4656176;47.7856302;SI;NO;https://www.das-achental.com/;3 Stars;Air conditioning,Car park,Interesting wine list
Waldhotel Sonnora;Auf'm Eichelfeld 1, Dreis, 54518, Germany;Dreis; Germany;€€€€;100;Classic French;6.8109342;49.9377323;NO;SI;https://www.hotel-sonnora.de/;3 Stars;Car park,Garden or park,Interesting wine list
